Genus	Alpha_1_avg	Alpha_3_avg	Alpha_4_avg	Alpha_9_avg	Beta_6_avg	Delta_10_avg	Delta_7_avg	Delta_8_avg	Gamma_2_avg	Undefined_avg	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Collinsella	Bacteroides	Bacilli	Eubacterium
H-10	1.858595405	NA	NA	NA	0.238882089	-0.458637849	NA	NA	0.176091259	1.505149978	-0.108415642	-0.108415642	-0.108415642	-0.27241114	-0.27241114	-3.698293033	-0.654800642	-4.050609993	-2.89365405
H-118	NA	NA	NA	NA	-1.176091259	-1.361727836	2.255728731	NA	NA	NA	-0.077563225	-0.077563225	-0.077563225	-0.109902462	-0.109902462	-3.327537303	-1.343348076	-3.567869659	-1.847916465
H-119	1.264513162	NA	NA	NA	NA	-0.106455331	-1.568201724	NA	NA	0.414973348	-0.149623959	-0.149623959	-0.149623959	-1.995207006	-1.995207006	-3.579026587	-0.189832489	-3.551875189	-3.605560578
H-120	NA	-0.455931956	0.995147497	-0.096910013	NA	NA	-1.091080469	NA	-0.77815125	0.301029996	-0.163645175	-0.163645175	-0.163645175	-0.272639946	-0.272639946	-3.265340959	-0.913802067	-3.311098094	-3.785694057
H-161	NA	NA	NA	0.301029996	NA	NA	NA	NA	NA	-0.698970004	-0.214086513	-0.214086513	-0.214086513	-1.151920043	-1.151920043	-4.882728704	-0.33633	-2.911185878	-3.605560578
H-193	NA	0.096910013	0.452297671	NA	-1.176091259	NA	2.038716802	NA	NA	-0.397940009	-0.070389393	-0.070389393	-0.070389393	-2.217452921	-2.217452921	NA	-0.087103962	-3.844818878	-4.707743929
H-314	NA	-0.15490196	0.84509804	NA	NA	0.891125195	0.075250952	NA	NA	NA	-0.270457827	-0.270457827	-0.270457827	-0.838796069	-0.838796069	-3.403009469	-0.552705639	-3.788361606	-4.628932138
O-121	NA	NA	-0.477121255	NA	0.73239376	NA	2.282444511	NA	NA	NA	-0.393682262	-0.393682262	-0.393682262	-1.942004953	-1.942004953	-4.368556231	-0.671664937	-3.804244214	-4.441291429
O-122	-1.792391689	1.858537198	NA	NA	0.166331422	NA	-0.225779043	NA	NA	NA	-0.360989639	-0.360989639	-0.360989639	-2.637243915	-2.637243915	-3.280382869	-0.393543486	-2.067730645	-2.863409107
O-123	1.640096566	NA	-0.141329153	2.391993072	NA	NA	0.276896316	-1.041392685	NA	1.653212514	-0.337296325	-0.337296325	-0.337296325	-1.867906373	-1.867906373	-2.676980067	-0.523187969	-1.858616301	-3.748169613
O-152	2.08520999	2.314288661	NA	NA	1.567418506	-0.157607853	2.320987888	-0.263241435	1.639320443	3.005437923	-0.204023426	-0.204023426	-0.204023426	-2.185191381	-2.185191381	-3.265233764	-0.243139119	-4.043351421	-3.605261219
O-39	NA	NA	-0.77815125	NA	-0.574031268	0.291484678	2.080743458	NA	0.720159303	0.531478917	-0.180930364	-0.180930364	-0.180930364	-0.530812103	-0.530812103	-2.578662489	-0.472794913	-3.656865265	-2.377412479
O-418	NA	NA	NA	NA	NA	0.386460191	NA	NA	NA	NA	-0.084880814	-0.084880814	-0.084880814	-1.801632338	-1.801632338	-4.567030709	-0.109910427	-2.781784688	-3.424486556
O-420	NA	-1.301029996	NA	NA	NA	0.724631995	NA	NA	NA	NA	-0.196578772	-0.196578772	-0.196578772	-2.787664814	-2.787664814	-3.012306481	-0.244384922	-3.389724272	-2.554277044
O-434	NA	NA	NA	0.204119983	NA	NA	NA	1.07587861	NA	0.414973348	-0.211005456	-0.211005456	-0.211005456	-0.290723593	-0.290723593	-3.346276285	-1.021546744	-2.850671865	-3.420986244
O-445	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	-0.613712228	-0.613712228	-0.613712228	-2.583078873	-2.583078873	-2.870918804	-0.655057696	-2.780742234	-4.555955204
OMC-124	NA	NA	NA	NA	-0.875061263	NA	-0.790050474	NA	NA	NA	-0.07580108	-0.07580108	-0.07580108	-0.162697448	-0.162411562	-3.49179764	-0.910094889	-3.952530425	-2.863409107
OMC-125	NA	0.146128036	-0.954242509	NA	NA	NA	-0.422073688	NA	NA	NA	-0.370356487	-0.370356487	-0.370356487	-2.692694837	-2.692694837	-3.473981392	-0.522770983	-3.072281725	-1.88760697
OMC-126	NA	NA	NA	NA	NA	-0.759667845	0.075250952	NA	NA	NA	-0.393936851	-0.393936851	-0.393936851	-2.639328027	-2.639328027	-2.563311269	-0.420450481	-2.463236705	-3.125587188
OMC-288	NA	NA	NA	1.437750563	-0.176091259	1.032723845	0.604984544	NA	NA	0.301029996	-0.294216755	-0.294216755	-0.294216755	-0.371809255	-0.371809255	-3.129005341	-1.400295757	-3.01564869	-3.812702124
OMC-446	NA	NA	NA	NA	NA	-1.06069784	2.208789861	NA	0.199572355	-0.096910013	-0.450302543	-0.450302543	-0.450302543	-1.51320733	-1.51320733	-2.1477593	-0.527921696	-2.888677657	-4.367542708
