"Var1"	"Var2"	"value"
"1"	"Alpha_avg"	"Alpha_sum"	1
"2"	"Phascolarctobacterium"	"Alpha_sum"	-0.564285714285714
"3"	"Phascolarctobacterium.sp."	"Alpha_sum"	-0.564285714285714
"4"	"Undefined_sum"	"Beta_sum"	0.9
"5"	"Beta_avg"	"Beta_sum"	1
"6"	"Undefined_avg"	"Beta_sum"	0.9
"7"	"Bacteroidetes"	"Beta_sum"	-0.736408119705036
"8"	"Firmicutes"	"Beta_sum"	0.711303297442365
"9"	"Proteobacteria"	"Beta_sum"	0.80672268907563
"10"	"Bacteroidia"	"Beta_sum"	-0.736408119705036
"11"	"Clostridia"	"Beta_sum"	0.711303297442365
"12"	"Bacteroidales"	"Beta_sum"	-0.736408119705036
"13"	"Clostridiales"	"Beta_sum"	0.711303297442365
"14"	"Gamma_sum"	"Delta_sum"	0.9
"15"	"Delta_avg"	"Delta_sum"	1
"16"	"Gamma_avg"	"Delta_sum"	0.9
"17"	"Porphyromonas"	"Delta_sum"	0.892857142857143
"18"	"Porphyromonas.sp."	"Delta_sum"	0.892857142857143
"19"	"Delta_sum"	"Gamma_sum"	0.9
"20"	"Delta_avg"	"Gamma_sum"	0.9
"21"	"Gamma_avg"	"Gamma_sum"	1
"22"	"Porphyromonas"	"Gamma_sum"	1
"23"	"Catenibacterium"	"Gamma_sum"	1
"24"	"Porphyromonas.sp."	"Gamma_sum"	1
"25"	"Catenibacterium.sp."	"Gamma_sum"	1
"26"	"Beta_sum"	"Undefined_sum"	0.9
"27"	"Beta_avg"	"Undefined_sum"	0.9
"28"	"Undefined_avg"	"Undefined_sum"	1
"29"	"Porphyromonas"	"Undefined_sum"	1
"30"	"Phascolarctobacterium"	"Undefined_sum"	-0.607312267419707
"31"	"Porphyromonas.sp."	"Undefined_sum"	1
"32"	"Phascolarctobacterium.sp."	"Undefined_sum"	-0.607312267419707
"33"	"Alpha_sum"	"Alpha_avg"	1
"34"	"Phascolarctobacterium"	"Alpha_avg"	-0.564285714285714
"35"	"Phascolarctobacterium.sp."	"Alpha_avg"	-0.564285714285714
