sample  sum_crasslike	average_crasslike	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Collinsella	Bacteroides
H-10	-2.189095719	-4.494446935	0.779084131	0.779084131	0.779084131	0.534058535	0.534058535	0.000200312	0.221411084
H-118	-2.021037323	-4.326388054	0.836443817	0.836443817	0.836443817	0.776421474	0.776421474	0.000470395	0.045357794
H-119	-2.781014604	-5.086366258	0.708559037	0.708559037	0.708559037	0.010110974	0.010110974	0.000263617	0.645903312
H-120	-3.55729631	-5.862647697	0.68604851	0.68604851	0.68604851	0.533777243	0.533777243	0.000542824	0.121954529
H-193	-2.229990053	-4.535342286	0.850375241	0.850375241	0.850375241	0.006061039	0.006061039	0	0.818268887
H-314	-3.285191415	-5.590542713	0.536465964	0.536465964	0.536465964	0.144945231	0.144945231	0.000395358	0.280087909
O-121	-1.989155094	-4.2945065	0.403940816	0.403940816	0.403940816	0.011428653	0.011428653	4.28E-05	0.212978156
O-122	-2.672203342	-4.977554543	0.435522264	0.435522264	0.435522264	0.002305452	0.002305452	0.000524345	0.404069913
O-123	-2.240440068	-4.545791265	0.459942641	0.459942641	0.459942641	0.013554816	0.013554816	0.002103875	0.299786472
O-39	-2.185086819	-4.490438435	0.659279597	0.659279597	0.659279597	0.294569581	0.294569581	0.002638381	0.336670518
O-418	-4.096910013	-6.402260948	0.822468333	0.822468333	0.822468333	0.015789474	0.015789474	2.71E-05	0.776407234
O-420	-3.755192929	-6.06054422	0.635947446	0.635947446	0.635947446	0.001630554	0.001630554	0.000972061	0.569659151
O-434	-3.70208324	-6.00743449	0.615169145	0.615169145	0.615169145	0.5120076	0.5120076	0.00045053	0.095159742
O-445	-4.276896316	-6.582248437	0.243381617	0.243381617	0.243381617	0.002611687	0.002611687	0.001346112	0.221280072
OMC-125	-4.201645364	-6.506996299	0.426229508	0.426229508	0.426229508	0.002029108	0.002029108	0.000335752	0.300074449
OMC-126	-4.163856803	-6.469207738	0.40370409	0.40370409	0.40370409	0.002294415	0.002294415	0.002733309	0.379795241
OMC-288	-3.10949914	-5.414850398	0.507905885	0.507905885	0.507905885	0.424806101	0.424806101	0.00074301	0.039783615
OMC-446	-2.066585028	-4.37193673	0.354566301	0.354566301	0.354566301	0.030675572	0.030675572	0.007116078	0.2965366
